,age,job,marital,education,housing,loan,contact,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
16,44,admin.,divorced,university.degree,no,no,cellular,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
17,46,admin.,divorced,university.degree,yes,no,telephone,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
18,45,entrepreneur,married,university.degree,yes,yes,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
19,50,blue-collar,married,basic.4y,no,yes,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,yes
20,55,services,married,basic.6y,yes,no,cellular,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
21,39,technician,divorced,high.school,no,no,cellular,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes
22,29,technician,single,university.degree,yes,yes,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
23,40,management,married,high.school,no,yes,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
24,44,technician,married,professional.course,yes,no,telephone,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
25,38,technician,married,professional.course,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
26,36,technician,divorced,professional.course,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
27,28,blue-collar,married,basic.6y,no,no,cellular,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
29,34,admin.,married,university.degree,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
30,38,technician,married,university.degree,yes,yes,cellular,1,999,1,failure,-1.8,92.84299999999999,-50.0,1.6869999999999998,5099.1,no
31,33,services,married,high.school,yes,no,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
32,51,technician,single,university.degree,no,no,cellular,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
33,30,blue-collar,single,basic.4y,yes,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
34,48,technician,married,university.degree,no,no,cellular,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
35,28,blue-collar,single,basic.9y,yes,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
36,36,blue-collar,married,basic.6y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
37,46,management,divorced,high.school,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
40,35,services,married,high.school,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
42,76,retired,married,university.degree,no,no,cellular,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no
43,45,entrepreneur,divorced,professional.course,yes,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
44,32,housemaid,married,basic.4y,yes,yes,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
45,39,management,single,university.degree,no,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
46,32,admin.,married,university.degree,no,no,telephone,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,no
47,29,admin.,single,basic.9y,no,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
48,44,services,married,professional.course,no,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
49,32,services,married,high.school,no,yes,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
50,56,retired,married,university.degree,yes,no,cellular,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no
51,33,blue-collar,married,basic.9y,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
52,39,management,married,high.school,no,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
53,24,technician,married,university.degree,yes,yes,cellular,2,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,yes
54,33,admin.,single,university.degree,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
55,58,entrepreneur,divorced,university.degree,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,no
56,29,admin.,single,university.degree,yes,no,telephone,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
57,31,admin.,married,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
58,27,admin.,married,university.degree,no,no,telephone,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59,60,admin.,divorced,professional.course,yes,no,cellular,1,999,1,failure,-1.1,94.199,-37.5,0.8859999999999999,4963.6,yes
60,55,entrepreneur,married,professional.course,yes,yes,cellular,1,999,2,failure,-3.4,92.431,-26.9,0.7390000000000001,5017.5,no
61,37,blue-collar,married,basic.9y,yes,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
63,46,services,married,high.school,yes,no,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
64,42,blue-collar,divorced,basic.6y,yes,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
65,35,admin.,single,university.degree,yes,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
67,29,services,divorced,high.school,no,yes,telephone,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
68,32,blue-collar,married,basic.9y,no,no,cellular,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8,yes
69,37,self-employed,married,university.degree,no,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
70,39,technician,single,professional.course,no,no,telephone,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes
71,51,services,married,high.school,yes,no,telephone,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,yes
72,28,admin.,single,high.school,yes,no,cellular,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
73,34,management,married,university.degree,yes,no,cellular,4,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
74,31,technician,single,high.school,yes,yes,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
75,31,admin.,married,university.degree,yes,no,cellular,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
76,31,admin.,single,university.degree,yes,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
77,38,self-employed,single,university.degree,no,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
78,33,unemployed,married,basic.9y,no,no,telephone,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
79,32,technician,single,university.degree,no,no,cellular,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
80,54,technician,married,professional.course,yes,no,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
81,41,admin.,divorced,high.school,yes,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
82,59,services,married,basic.4y,no,no,cellular,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
83,57,retired,married,university.degree,yes,no,cellular,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no
84,38,entrepreneur,divorced,university.degree,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
85,46,admin.,married,university.degree,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
86,37,unemployed,single,university.degree,yes,yes,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
88,45,admin.,single,university.degree,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,yes
89,36,blue-collar,married,basic.6y,yes,no,telephone,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
90,40,unemployed,single,high.school,yes,no,cellular,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
91,38,blue-collar,married,basic.9y,no,no,cellular,2,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
92,44,blue-collar,married,high.school,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
93,25,self-employed,married,university.degree,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
94,30,blue-collar,single,basic.6y,yes,no,telephone,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
95,43,management,married,professional.course,no,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
96,58,retired,married,basic.6y,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
97,31,technician,married,professional.course,yes,no,telephone,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
98,53,management,married,university.degree,no,no,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
100,37,management,married,university.degree,no,yes,cellular,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
101,58,admin.,married,high.school,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
102,37,services,married,high.school,yes,yes,cellular,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
104,33,services,single,basic.9y,yes,no,cellular,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
105,45,services,married,high.school,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
106,44,entrepreneur,married,professional.course,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
107,38,blue-collar,married,basic.6y,yes,no,telephone,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.966,5228.1,no
108,34,blue-collar,married,basic.9y,no,no,telephone,1,999,0,nonexistent,-1.7,94.055,-39.8,0.7020000000000001,4991.6,no
109,47,management,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-2.9,92.469,-33.6,1.0290000000000001,5076.2,no
110,59,admin.,married,university.degree,yes,yes,cellular,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no
111,51,blue-collar,married,basic.4y,yes,yes,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
112,31,blue-collar,married,basic.6y,yes,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
113,56,management,married,university.degree,yes,yes,cellular,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no
114,39,admin.,married,university.degree,no,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
115,41,entrepreneur,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,yes
116,41,management,divorced,basic.6y,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
117,53,services,married,high.school,no,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
118,35,blue-collar,married,high.school,no,yes,cellular,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
119,58,retired,married,basic.9y,no,yes,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
120,25,self-employed,married,professional.course,yes,no,telephone,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
121,35,blue-collar,divorced,basic.9y,yes,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
122,28,services,single,high.school,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
123,55,blue-collar,married,professional.course,yes,yes,cellular,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
124,54,entrepreneur,married,basic.4y,no,yes,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
125,45,technician,divorced,basic.9y,no,no,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
126,32,blue-collar,married,basic.9y,yes,no,cellular,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
127,50,admin.,married,basic.9y,yes,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
128,75,retired,married,basic.4y,no,no,cellular,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
130,29,management,married,university.degree,no,yes,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
131,45,management,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
132,38,admin.,divorced,university.degree,no,no,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,yes
133,24,services,single,professional.course,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
134,41,technician,married,professional.course,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
135,58,retired,divorced,high.school,yes,no,cellular,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
136,34,admin.,married,university.degree,no,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
137,34,admin.,married,university.degree,no,no,cellular,2,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.05,4963.6,no
138,37,technician,divorced,professional.course,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
139,53,blue-collar,divorced,basic.4y,no,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
140,54,technician,divorced,professional.course,yes,yes,cellular,14,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
141,32,technician,divorced,professional.course,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
142,42,admin.,married,high.school,yes,no,cellular,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
143,28,technician,single,professional.course,yes,no,cellular,2,3,1,success,-2.9,92.20100000000001,-31.4,0.851,5076.2,yes
144,33,services,single,high.school,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
145,41,blue-collar,married,basic.9y,yes,no,cellular,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
146,31,services,married,high.school,no,yes,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
147,40,technician,married,basic.9y,no,yes,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
149,40,admin.,divorced,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
150,82,housemaid,married,basic.4y,no,no,telephone,3,3,2,success,-1.1,94.199,-37.5,0.877,4963.6,yes
151,28,blue-collar,married,basic.4y,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
152,30,admin.,married,high.school,yes,no,cellular,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
153,31,unemployed,single,university.degree,yes,no,cellular,1,6,3,success,-1.7,94.215,-40.3,0.835,4991.6,yes
154,32,technician,single,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
155,54,blue-collar,married,basic.4y,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
156,31,blue-collar,married,basic.9y,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
159,31,admin.,single,high.school,yes,yes,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,no
160,32,unemployed,married,high.school,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
161,46,admin.,single,high.school,yes,no,cellular,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6,no
162,47,admin.,single,high.school,no,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
163,32,admin.,single,high.school,no,no,cellular,2,999,2,failure,-1.1,94.76700000000001,-50.8,1.048,4963.6,no
164,52,services,divorced,high.school,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
165,45,admin.,married,high.school,yes,no,cellular,3,6,1,success,-1.1,94.601,-49.5,1.0290000000000001,4963.6,yes
166,32,admin.,married,university.degree,yes,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
167,71,blue-collar,divorced,basic.4y,no,no,cellular,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,no
168,49,services,married,high.school,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
169,46,admin.,married,high.school,yes,yes,telephone,10,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
170,46,blue-collar,married,professional.course,no,no,cellular,1,999,0,nonexistent,-1.1,94.76700000000001,-50.8,1.028,4963.6,no
171,38,admin.,married,university.degree,yes,no,cellular,6,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
172,57,services,married,professional.course,no,no,cellular,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
174,44,technician,married,professional.course,no,no,telephone,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
175,47,technician,married,university.degree,yes,no,cellular,7,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
176,40,blue-collar,married,basic.9y,yes,yes,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,no
177,57,retired,single,professional.course,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
179,52,blue-collar,married,basic.9y,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
180,34,management,married,university.degree,yes,yes,telephone,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
181,42,entrepreneur,married,university.degree,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
183,45,management,married,basic.4y,yes,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
184,56,retired,married,high.school,no,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
185,41,management,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
186,44,admin.,married,high.school,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
187,50,blue-collar,married,basic.6y,yes,no,cellular,3,3,1,success,-1.8,92.89299999999999,-46.2,1.354,5099.1,yes
188,54,self-employed,married,high.school,no,no,cellular,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
189,51,blue-collar,married,basic.6y,no,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
190,30,blue-collar,single,basic.9y,no,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
191,42,housemaid,married,basic.4y,yes,no,telephone,8,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
192,41,technician,married,professional.course,yes,no,telephone,11,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
193,47,services,single,basic.9y,no,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
194,35,blue-collar,married,basic.6y,yes,no,cellular,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
195,58,blue-collar,married,basic.9y,no,no,cellular,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
196,50,blue-collar,divorced,high.school,yes,yes,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,yes
197,41,technician,married,professional.course,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
198,38,technician,married,university.degree,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
199,32,student,single,university.degree,no,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
200,21,student,single,high.school,no,no,cellular,1,999,1,failure,-2.9,92.20100000000001,-31.4,0.884,5076.2,no
201,46,admin.,divorced,basic.9y,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
202,42,self-employed,married,university.degree,yes,no,cellular,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
203,55,services,married,basic.9y,no,no,cellular,13,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
204,29,admin.,single,high.school,yes,no,telephone,1,6,1,success,-1.1,94.76700000000001,-50.8,1.05,4963.6,no
205,30,blue-collar,single,basic.6y,yes,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
206,53,management,married,basic.4y,yes,no,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
207,35,management,married,university.degree,yes,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
208,46,services,married,professional.course,yes,no,telephone,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
210,43,entrepreneur,married,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,no
211,42,services,married,high.school,yes,no,cellular,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
212,32,technician,married,professional.course,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
213,41,blue-collar,divorced,basic.9y,yes,no,cellular,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
214,28,admin.,married,university.degree,no,no,cellular,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,no
215,24,services,single,university.degree,no,no,cellular,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
216,43,management,married,university.degree,yes,yes,cellular,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
217,30,admin.,single,university.degree,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
218,55,blue-collar,married,basic.9y,no,no,cellular,2,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
219,51,retired,married,basic.9y,no,no,cellular,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.959,5228.1,no
220,22,student,single,high.school,no,yes,cellular,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
221,32,entrepreneur,single,university.degree,no,yes,cellular,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
222,43,admin.,married,professional.course,no,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no
223,39,management,married,basic.6y,no,no,telephone,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
225,38,technician,single,professional.course,yes,no,cellular,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.244,5099.1,no
226,59,retired,married,basic.4y,no,no,telephone,4,999,0,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
227,31,blue-collar,married,basic.4y,yes,no,telephone,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
228,76,retired,single,basic.4y,no,no,cellular,4,6,1,success,-3.4,92.649,-30.1,0.715,5017.5,yes
231,32,services,married,high.school,no,no,telephone,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
233,33,admin.,single,university.degree,yes,no,cellular,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,yes
234,59,retired,married,basic.4y,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
235,28,blue-collar,married,basic.9y,yes,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
236,33,blue-collar,single,basic.6y,yes,no,cellular,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,no
237,53,services,married,high.school,yes,no,cellular,1,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
238,41,services,married,high.school,no,no,cellular,6,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.778,5099.1,yes
240,45,blue-collar,married,basic.9y,no,no,telephone,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
241,35,technician,married,professional.course,no,no,cellular,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,no
242,31,services,married,high.school,no,no,cellular,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
243,53,management,married,university.degree,no,no,cellular,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
244,35,technician,single,professional.course,yes,no,cellular,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,no
